Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1/1/81,0,50.8,64.4,78
1/2/81,0,49.5,62.8,76.1
1/3/81,0,52.5,59.6,66.7
1/4/81,0,53.5,61,68.5
1/5/81,0,49.3,57.9,66.5
1/6/81,0,50.9,64.5,78.2
1/7/81,0,49,63,77
1/8/81,0,46.4,58.1,69.8
1/9/81,0,46.9,56,65.1
1/10/81,0,46.1,60.7,75.2
1/11/81,0,48.7,63.6,78.5
1/12/81,0.05,56.7,63,69.4
1/13/81,0.08,53.8,61.3,68.9
1/14/81,0,51.1,61.5,71.9
1/15/81,0,49.8,61,72.2
1/16/81,0,49.6,59.6,69.6
1/17/81,0,49.8,58.6,67.4
1/18/81,0,48.9,59.3,69.8
1/19/81,0,50.1,62.9,75.6
1/20/81,0,49.6,59.2,68.8
1/21/81,0,51.1,59.7,68.3
1/22/81,0,52.2,61.8,71.5
1/23/81,0,53.7,61.2,68.6
1/24/81,0.25,48.9,56.3,63.8
1/25/81,0.08,46.5,55.5,64.5
1/26/81,0,44.6,56,67.4
1/27/81,0,44.1,55.3,66.4
1/28/81,0,49.2,54.7,60.3
1/29/81,0.76,49.1,54.5,59.9
1/30/81,0.43,46.9,52.3,57.7
1/31/81,0.61,41.9,50.1,58.3
2/1/81,0.07,41.4,52.1,62.8
2/2/81,0,41,54.2,67.3
2/3/81,0,46.1,59.2,72.2
2/4/81,0,45.2,57.8,70.3
2/5/81,0,44.9,55.4,65.9
2/6/81,0,44.7,55.9,67.1
2/7/81,0,47.8,55.7,63.6
2/8/81,0,47.3,57,66.7
2/9/81,0,50.7,55.2,59.7
2/10/81,0.57,51.6,55.4,59.3
2/11/81,0.15,51.1,58,64.9
2/12/81,0,51.4,56.6,61.9
2/13/81,0,51.3,62.5,73.7
2/14/81,0,53.4,67.4,81.4
2/15/81,0,54.6,67.2,79.9
2/16/81,0,53.3,66.7,80.1
2/17/81,0,54.9,69.7,84.6
2/18/81,0,56.2,69.5,82.8
2/19/81,0,54.8,70.1,85.4
2/20/81,0,54.3,68.2,82.1
2/21/81,0,54.7,66.2,77.6
2/22/81,0,55.3,68.6,81.9
2/23/81,0,51.2,66.8,82.4
2/24/81,0,49.8,62.5,75.3
2/25/81,0,50.1,56.2,62.3
2/26/81,0,46.7,54.1,61.5
2/27/81,0.49,43.8,53.1,62.4
2/28/81,0.12,42.6,55.2,67.7
3/1/81,0,52.1,55,58
3/2/81,0.87,50.6,55,59.4
3/3/81,1.56,47.5,53.6,59.7
3/4/81,0.18,45.9,55.6,65.2
3/5/81,0,49.9,55.2,60.4
3/6/81,0.78,49.6,52.5,55.3
3/7/81,0.26,50.8,55.3,59.7
3/8/81,0,48.8,56.2,63.6
3/9/81,0,47.5,59.2,70.9
3/10/81,0,50.2,62.6,75
3/11/81,0,50.4,63.1,75.9
3/12/81,0,52.9,61.6,70.4
3/13/81,0,53.7,59.8,65.9
3/14/81,0,47.5,54.5,61.4
3/15/81,0,46.2,55.3,64.5
3/16/81,0,48,59.4,70.7
3/17/81,0,50.1,60.4,70.6
3/18/81,0,50.6,59.9,69.3
3/19/81,0,52.5,60.4,68.2
3/20/81,0,53.3,57.2,61
3/21/81,1.04,50.4,56,61.7
3/22/81,0.06,50.4,56.5,62.5
3/23/81,0,52.6,60.2,67.7
3/24/81,0,52.1,61.2,70.3
3/25/81,0,52.4,62.8,73.3
3/26/81,0,54.1,62,70
3/27/81,0,49.1,55.3,61.4
3/28/81,0,46.1,55,63.8
3/29/81,0,48.7,56.9,65.1
3/30/81,0,52.8,57.8,62.8
3/31/81,0,49.8,58,66.2
4/1/81,0,49.6,60.6,71.7
4/2/81,0,51.1,58.9,66.7
4/3/81,0.09,48.6,54.5,60.4
4/4/81,0,47.3,55.7,64
4/5/81,0,47.5,62.4,77.3
4/6/81,0,53.8,70.1,86.4
4/7/81,0,54,66.3,78.5
4/8/81,0,54,59.4,64.8
4/9/81,0,52.7,60.5,68.2
4/10/81,0,52.1,61.2,70.3
4/11/81,0,56.2,60.4,64.6
4/12/81,0,53.1,62.5,71.9
4/13/81,0,52.2,61.6,71.1
4/14/81,0,54,63.1,72.3
4/15/81,0,53.7,63.6,73.5
4/16/81,0,54,63.9,73.8
4/17/81,0,54.6,64.7,74.8
4/18/81,0,55.9,62.7,69.6
4/19/81,0.11,53.2,57.8,62.5
4/20/81,0.13,51.3,55.9,60.5
4/21/81,0.17,49.4,58.5,67.5
4/22/81,0,52.3,64,75.8
4/23/81,0,56.3,68.6,80.9
4/24/81,0,58.5,67.1,75.8
4/25/81,0,58.6,65.2,71.9
4/26/81,0,58.6,66.3,74
4/27/81,0,55.1,62.2,69.3
4/28/81,0,54.9,64.6,74.3
4/29/81,0,56.9,72.5,88.1
4/30/81,0,61.3,78.3,95.3
5/1/81,0,60.8,69.3,77.8
5/2/81,0,60.5,66.8,73.1
5/3/81,0,57.1,62.4,67.8
5/4/81,0,57.4,63.5,69.6
5/5/81,0,54.7,62.1,69.6
5/6/81,0,54.1,62.9,71.7
5/7/81,0,53.6,63.1,72.6
5/8/81,0,53.7,65.3,77
5/9/81,0,56.8,67.4,78
5/10/81,0,58.7,73.3,87.9
5/11/81,0,59.2,72.8,86.3
5/12/81,0,60.6,69.6,78.6
5/13/81,0,60.6,67.1,73.6
5/14/81,0,60.9,67.1,73.4
5/15/81,0,59.7,64.2,68.6
5/16/81,0,58.3,63.8,69.2
5/17/81,0,54.3,62.3,70.2
5/18/81,0,54.5,66.2,77.8
5/19/81,0,58.5,68.1,77.8
5/20/81,0,55.7,62.1,68.6
5/21/81,0,53.7,61.1,68.5
5/22/81,0,54.7,64,73.2
5/23/81,0,57.2,65.8,74.3
5/24/81,0,59.6,67.7,75.8
5/25/81,0,62.5,70.1,77.8
5/26/81,0,63.2,67.7,72.2
5/27/81,0,61,68.8,76.6
5/28/81,0,60.7,67.4,74.1
5/29/81,0,62.3,69,75.6
5/30/81,0,62.7,67.8,72.8
5/31/81,0,62.8,69.4,75.9
6/1/81,0,62.2,69.9,77.6
6/2/81,0,61.8,68.4,75.1
6/3/81,0,61.8,67.2,72.6
6/4/81,0,61.3,70.6,79.8
6/5/81,0,62.7,75.8,88.9
6/6/81,0,65,74.4,83.8
6/7/81,0,65.4,73.7,82
6/8/81,0,63.2,72.8,82.3
6/9/81,0,64.1,73.7,83.2
6/10/81,0,65.6,72.9,80.3
6/11/81,0,65.8,72.9,80.1
6/12/81,0,64.1,71.8,79.5
6/13/81,0,62.8,71.3,79.9
6/14/81,0,62.2,73.1,83.9
6/15/81,0,65.2,77.5,89.9
6/16/81,0,67.4,83.9,100.4
6/17/81,0,69.2,86.4,103.7
6/18/81,0,66.4,83.4,100.3
6/19/81,0,63.6,76.8,89.9
6/20/81,0,63.5,75.7,88
6/21/81,0,64.8,75.6,86.4
6/22/81,0,64.4,75.3,86.2
6/23/81,0,65.7,76.4,87.1
6/24/81,0,66.7,76.6,86.4
6/25/81,0,66.1,77.3,88.5
6/26/81,0,65,76.2,87.5
6/27/81,0,64.8,74.9,85
6/28/81,0,65.6,73.6,81.5
6/29/81,0,64.8,72.2,79.7
6/30/81,0,62.7,71.9,81.2
7/1/81,0,61.4,71.9,82.5
7/2/81,0,63.4,71.8,80.1
7/3/81,0,62.6,74.2,85.9
7/4/81,0,63.1,80.3,97.5
7/5/81,0,66.7,79.5,92.3
7/6/81,0,67.7,78.5,89.4
7/7/81,0,66.3,77,87.7
7/8/81,0,66.5,75.4,84.3
7/9/81,0,66.8,75.3,83.8
7/10/81,0,65.7,74.9,84
7/11/81,0,66.3,74.5,82.6
7/12/81,0,64.5,74.1,83.7
7/13/81,0,63.7,74.3,84.8
7/14/81,0,63.8,76.2,88.6
7/15/81,0,64.9,77.2,89.4
7/16/81,0,67.2,77.2,87.2
7/17/81,0,66.7,76,85.3
7/18/81,0,65.3,75,84.7
7/19/81,0,65.5,75.9,86.4
7/20/81,0,63.2,75.1,87
7/21/81,0,63.4,75.7,88
7/22/81,0,63.5,75.8,88.1
7/23/81,0,63.2,73.6,84
7/24/81,0,64.2,74.1,84
7/25/81,0,64.8,73.9,83
7/26/81,0,64.6,72.7,80.8
7/27/81,0,64.7,73,81.3
7/28/81,0,62.8,72.5,82.1
7/29/81,0,62.9,72.2,81.4
7/30/81,0,61.9,71.1,80.3
7/31/81,0,62.8,71.8,80.8
8/1/81,0,61.4,71.9,82.5
8/2/81,0,61.9,72.4,82.9
8/3/81,0,61.4,73.4,85.3
8/4/81,0,61.7,72.4,83
8/5/81,0,63.9,73.8,83.6
8/6/81,0,65.7,74.7,83.8
8/7/81,0,65.3,75.4,85.6
8/8/81,0,64.6,75,85.4
8/9/81,0,63.8,76.7,89.5
8/10/81,0,64.1,75.6,87.2
