Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1915-01,5.47,42.5,52.7,62.9
1915-02,5.34,44.7,53.2,61.7
1915-03,0.9,47.4,59.1,70.8
1915-04,1.01,50,59.3,68.6
1915-05,1.08,49.6,60,70.3
1915-06,0,53.7,66.2,78.7
1915-07,0,57.2,69.1,81
1915-08,0,57.7,71.3,84.9
1915-09,0,54.1,65.8,77.5
1915-10,0,47.4,62.1,76.8
1915-11,1.22,44.1,57.5,70.9
1915-12,2.57,42.1,53.6,65.1
1916-01,13.41,42.1,49.3,56.6
1916-02,1.73,45.3,57.1,69
1916-03,1.05,47.6,60,72.5
1916-04,0,47.9,60.5,73.1
1916-05,0.03,48.1,60.6,73.2
1916-06,0,52.1,63.8,75.4
1916-07,0,56.3,67.8,79.3
1916-08,0,56.2,68.2,80.1
1916-09,0,53.8,65.8,77.8
1916-10,2.76,48.8,58.1,67.4
1916-11,0.12,41.8,55.4,69
1916-12,3.94,39.3,49.7,60
1917-01,2.77,39.9,49.2,58.4
1917-02,4.32,41.9,52.7,63.4
1917-03,0.26,40.5,53.1,65.8
1917-04,0.55,45.3,56.3,67.4
1917-05,0.23,48.2,57.3,66.4
1917-06,0,54,67.5,81.1
1917-07,0,60,71.5,83
1917-08,0,57.7,69.8,81.9
1917-09,0,55.3,69.5,83.8
1917-10,0,52.8,65.8,78.7
1917-11,0.37,45.9,60.3,74.7
1917-12,0.05,42.8,58.6,74.5
1918-01,0.61,43.2,54.4,65.5
1918-02,6.01,43.1,53.6,64.1
1918-03,6.95,48,57.5,67
1918-04,0.11,49.1,60.1,71.2
1918-05,0.28,50.6,60.4,70.1
1918-06,0.04,59,70.2,81.3
1918-07,0.12,57.5,69.5,81.5
1918-08,0.05,59.3,70.7,82.2
1918-09,0.68,59.5,70.5,81.5
1918-10,0,57,68.7,80.5
1918-11,1.97,46,57.6,69.2
1918-12,1.5,40.9,53.5,66.1
1919-01,0.28,41.9,56.1,70.2
1919-02,2.02,40.9,51.1,61.3
1919-03,2.25,43.6,53.7,63.9
1919-04,0.26,47.7,58.8,70
1919-05,0.29,53.2,61,68.9
1919-06,0,52.5,67,81.4
1919-07,0,57.2,70.1,83
1919-08,0,56.5,69.5,82.5
1919-09,1.22,54,67,79.9
1919-10,0.63,49.2,61.5,73.7
1919-11,0.51,44.1,57.3,70.5
1919-12,1.98,43.3,56,68.7
1920-01,0.5,44.3,55.4,66.4
1920-02,2.71,46,55.3,64.6
1920-03,4.65,44.4,55,65.7
1920-04,0.98,47,57.9,68.8
1920-05,0.21,51.8,62.2,72.6
1920-06,0,56.1,66.2,76.4
1920-07,0,57.7,71.2,84.7
1920-08,0,59.6,71.5,83.4
1920-09,0.04,55.4,67.5,79.7
1920-10,0.68,47.9,60.5,73.1
1920-11,0.99,46.1,57.3,68.5
1920-12,1.1,41.7,53.1,64.5
1921-01,3.7,44.4,53.5,62.6
1921-02,0.9,45.8,56.6,67.5
1921-03,3.1,50.6,59.1,67.5
1921-04,0.29,48.5,58.5,68.5
1921-05,3.83,52.7,58.7,64.8
1921-06,0,57.7,65.5,73.3
1921-07,0,62.3,71.4,80.6
1921-08,0,60.5,70.3,80
1921-09,0,58.2,68.6,78.9
1921-10,1.11,57.5,66.5,75.6
1921-11,0.06,50.8,62.1,73.5
1921-12,8.69,51,59.6,68.1
1922-01,4.34,43.3,52.8,62.3
1922-02,3.62,46,53.6,61.3
1922-03,1.75,46.8,55.2,63.6
1922-04,0.24,48.8,57.3,65.9
1922-05,0.65,53.2,62.4,71.6
1922-06,0,57.5,67.4,77.3
1922-07,0,60,69.3,78.5
1922-08,0,62.8,72.9,83.1
1922-09,0,61.6,72.6,83.6
1922-10,0.26,54.7,64.8,74.8
1922-11,1.34,43.9,56.4,69
1922-12,3.94,50.3,57.9,65.4
1923-01,1.64,47.6,57.2,66.7
1923-02,1.12,46,55.9,65.8
1923-03,0.34,44.9,58,71.1
1923-04,2.24,51.8,58.3,64.8
1923-05,0,55,64.2,73.5
1923-06,0,55.1,63.3,71.6
1923-07,0,60,69.5,79
1923-08,0,60.5,69.3,78
1923-09,0.38,61,69.8,78.6
1923-10,0.18,51.3,63.8,76.2
1923-11,0.21,50,62.9,75.8
1923-12,0.76,48.2,57.7,67.2
1924-01,0.81,40.5,54.7,68.9
1924-02,0.02,45.7,59.4,73
1924-03,3.58,47.5,55.9,64.3
1924-04,1.72,52.5,60.2,67.9
1924-05,0,56.7,64.5,72.4
1924-06,0,58.2,68,77.7
1924-07,0,59.5,68.9,78.3
1924-08,0,59.1,68.7,78.2
1924-09,0,58.7,69.3,80
1924-10,0.62,52.6,62.2,71.7
1924-11,1.14,47,60.5,74.1
1924-12,1.19,45.8,55,64.2
1925-01,0.26,41.1,53.9,66.8
1925-02,0.68,48.8,57.4,66
1925-03,1.37,49.5,58.7,67.8
1925-04,2.15,51.5,59.8,68.2
1925-05,0.47,55.3,62.8,70.2
1925-06,0.73,58.8,67.2,75.5
1925-07,0,62.7,71.9,81.1
1925-08,0,59.9,69.5,79
1925-09,0,58.4,68.3,78.2
1925-10,0.77,56.3,64.7,73
1925-11,0.68,51.6,61.3,71.1
1925-12,2.27,52.2,62.1,72.1
1926-01,0.37,42.9,55.6,68.4
1926-02,4.8,51.7,60.8,69.9
1926-03,0.34,54.9,62.8,70.8
1926-04,7.31,56.7,63.4,70.1
1926-05,0.23,56.9,65.2,73.5
1926-06,0,59.5,67.2,75
1926-07,0,60.3,69.5,78.7
1926-08,0,62.9,72.2,81.6
1926-09,0,57.8,67.2,76.6
1926-10,0.19,56.9,67.2,77.4
1926-11,3.39,50.3,63.3,76.4
1926-12,1.51,46.8,55.1,63.4
1927-01,0.96,47.8,56.4,65
1927-02,8.76,50.1,56.4,62.7
1927-03,2.17,49.3,57,64.7
1927-04,0.94,51.1,59.4,67.6
1927-05,0,54.4,63.6,72.8
1927-06,0,56.8,64.9,73
1927-07,0,61.2,71.7,82.3
1927-08,0,60.1,70,80
1927-09,0,59.1,67.7,76.2
1927-10,0.76,57.3,67,76.8
1927-11,2.11,55.3,64.8,74.3
1927-12,3.28,47.7,55.5,63.4
1928-01,0.11,44.4,57.8,71.2
1928-02,1.77,48.9,59,69
1928-03,2.11,52.2,60.2,68.2
1928-04,0.32,51.6,61.9,72.2
1928-05,0.43,57.2,64.2,71.2
1928-06,0.02,57.9,65.2,72.6
1928-07,0,59.5,68.9,78.2
1928-08,0,60.6,69.8,79
1928-09,0,59.5,70.5,81.5
1928-10,0.34,54.3,63.3,72.3
1928-11,1.55,52.1,62.2,72.2
1928-12,2.5,47.6,57.7,67.7
1929-01,1.25,45,54,63
1929-02,1.84,44.1,53.4,62.7
1929-03,2.11,47.5,56.8,66.2
1929-04,1.87,49.6,57.4,65.1
1929-05,0,55.8,64.8,73.9
1929-06,0.14,58.7,68,77.3
1929-07,0,62.8,71.7,80.6
1929-08,0,65,75.3,85.5
1929-09,0.39,61.3,69.5,77.8
1929-10,0,58.9,69.2,79.6
1929-11,0,51.5,64.2,76.9
1929-12,0,51.1,62.1,73
1930-01,5.74,46.9,55,63.1
1930-02,0.57,49.1,59.1,69
1930-03,3.71,51.3,60.1,69
1930-04,0.07,54.1,63.1,72.1
1930-05,1.25,52.4,61.2,69.9
1930-06,0,58.8,67.2,75.5
1930-07,0,62,72.4,82.8
1930-08,0,64,73.1,82.3
1930-09,0,58.6,66.9,75.2
1930-10,0.1,55.2,66.9,78.5
1930-11,1.92,49.9,62.5,75.1
1930-12,0,40.8,55.5,70.2
1931-01,3.26,48,58.4,68.8
1931-02,4.1,51.6,59.9,68.2
1931-03,0,48.6,62.2,75.7
1931-04,2.87,56.3,65.6,74.9
1931-05,0.61,59.1,67.3,75.4
1931-06,0.03,60.2,69.5,78.8
1931-07,0,67.9,76.7,85.5
1931-08,0.08,66.7,75.6,84.4
1931-09,0.22,59.6,69.9,80.2
1931-10,0.09,57.1,67.3,77.6
1931-11,2.05,48,57.6,67.2
1931-12,6.09,44.6,53.5,62.4
1932-01,1.12,42.3,51.7,61.1
1932-02,6.95,46.5,55.4,64.3
1932-03,0.04,50.2,60.8,71.5
1932-04,0.48,51.4,61.9,72.4
1932-05,0.03,54.6,63.2,71.8
1932-06,0.1,56.3,65.4,74.6
1932-07,0,58.8,68.3,77.9
1932-08,0,58.8,68.7,78.6
1932-09,0.11,58.8,67.5,76.3
1932-10,0.18,56.1,65.8,75.4
1932-11,0,48.9,64.2,79.5
1932-12,1.7,43.6,53.5,63.4
1933-01,7.94,43.1,52.9,62.7
1933-02,0,39.7,52.7,65.7
1933-03,0.13,47.7,58.6,69.5
1933-04,0.56,50.1,58.7,67.2
1933-05,0.18,50.5,59.5,68.5
1933-06,0.46,54.8,64.5,74.2
1933-07,0,59.8,69.2,78.6
1933-08,0.03,60.3,69.8,79.3
1933-09,0,55.3,64,72.7
1933-10,0,56.8,66.3,75.7
1933-11,0.29,51.9,64.8,77.7
1933-12,3.2,46.8,56.3,65.8
1934-01,8.3,47.6,59,70.3
1934-02,1.94,50.3,58.7,67.2
1934-03,0.02,54,64.8,75.7
1934-04,0,54.9,64.2,73.6
1934-05,0,57.4,67,76.7
1934-06,0.43,57.7,64.8,71.9
1934-07,0,62.5,72.1,81.8
1934-08,0.01,61,70.8,80.6
1934-09,0.07,61.7,71.9,82.1
1934-10,2.11,56.9,66.8,76.7
1934-11,2.75,52.6,61.5,70.4
1934-12,4.02,50.1,59.2,68.2
1935-01,2.84,46.6,55.7,64.9
1935-02,2.18,49,58.6,68.2
